,GSE57577,GSE77003
9130011E15RIK,0.3610191168031922,0.5944916777639708
9130019O22RIK,0.1470354178150104,0.18251184660089048
9130023H24RIK,-0.15186951425554313,0.32923072048251123
9130221H12RIK,0.1304324742378462,0.1969332072094616
9130401M01RIK,-0.1540013012178365,0.04354786790379972
9230110C19RIK,0.4036705347381926,0.13622670269175896
9230114K14RIK,0.18008773483779006,0.14395925616932925
9330020H09RIK,-0.09866876482729608,0.21221626792417736
9330151L19RIK,0.06879851724765951,-0.17821995668031465
9330159F19RIK,0.21284365254467263,0.35742496767520315
9330182L06RIK,-0.6262089105586833,-0.6358696091559731
9430008C03RIK,0.25940431898572935,0.3693466455190535
9430015G10RIK,0.387117465196928,0.41220254409912194
9430016H08RIK,-0.13780968634245694,0.36686476253761313
9430020K01RIK,-0.18479582430115782,-0.17348077099188153
9430038I01RIK,0.003430155300685911,0.03110666944122631
9430091E24RIK,-0.027242479362476146,-0.37269803739383667
9530027J09RIK,0.5798566348886784,0.5324362275597077
9530068E07RIK,0.1061170200202417,0.09537005935902343
9530077C05RIK,-0.10971474000098391,0.24410831382728837
9530080O11RIK,-0.09907315148801771,-0.10044909867646812
9530082P21RIK,0.2659231505208042,0.15215084243805066
9630033F20RIK,0.06844960155468183,-0.007238384781377505
9830147E19RIK,0.17893592190222618,0.16141396225571114
9930012K11RIK,0.38432297273795535,0.06473625722739973
9930014A18RIK,0.036848524349245015,0.01789468759290902
9930021J03RIK,-0.07753590461621784,0.01756225765196362
9930104L06RIK,0.2362799808072542,0.3149175714494108
9930111J21RIK1,0.04571122912558763,0.11804621101319827
A130010J15RIK,-0.3885188298035547,-0.0515352761454233
A230046K03RIK,-0.03510011530964263,0.01613978404389549
A230050P20RIK,0.9435147992057802,0.7833686614457931
A230056P14RIK,0.21767961119267465,0.2585379076656744
A230072C01RIK,0.05842695147577004,0.1521584522379762
A230103J11RIK,0.5502334000404804,-0.4748760230283171
A2M,-0.8737580075184963,-1.1221518992705837
A330009N23RIK,0.13837804889704247,0.07178256319126419
A330069E16RIK,0.21217508921520245,-0.04465588023023925
A430005L14RIK,0.3344521910595679,0.5659166851075366
A430033K04RIK,0.6396880837025094,0.0527093875704574
A430105I19RIK,0.02593882896098179,0.23158609731739987
A4GALT,0.43968273435066685,-0.01841869281277697
A530054K11RIK,-0.10521511627033919,0.14265018486767245
A630033H20RIK,0.0,0.19476612722457518
A730017L22RIK,-0.1442670586028747,0.22164003798646761
A830010M20RIK,-0.1921329823219855,-0.16024165549147407
A830080D01RIK,-0.04153885567611493,0.23683817514783545
A930001C03RIK,-0.6796266295389766,-0.044118906171893624
A930004D18RIK,-1.3091863774946146,0.18899053336539606
A930005H10RIK,0.6677450272917249,0.06386486772701927
A930011O12RIK,0.1884636808041198,0.5558558883281675
A930015D03RIK,0.10400669173229747,0.8886999588015012
A930024E05RIK,0.05487705671979426,0.46279063072721194
AA414768,-0.683632104248227,0.7104802477526786
AA415398,-0.02801630286405188,0.4209126004380568
AA467197,-0.8110742634721555,-0.8724557621027484
AA987161,-0.3024671959268579,0.318458288959087
AAAS,0.22053129473029376,0.13287230799697802
AACS,0.4084264442402499,-0.2584199633803297
AAGAB,0.0022986942273677258,-0.24490896781645066
AAK1,0.15954875869764917,-0.22037567307269024
AAMP,0.26070579146576467,0.19119765641827335
AARD,-1.396668314736504,-0.7673060411697508
AARS,0.7878612395468414,-0.5079555122441288
AARS2,0.6648098532550972,0.3099717134287907
AARSD1,0.0376896491459453,-0.39199658145119276
AASDH,0.7955793944600105,0.0701199701466706
AASDHPPT,-0.0626544484188889,0.08001087537030749
AASS,-0.7405538345673981,1.5473072101175172
AATF,0.21998363411894317,0.2453706931013162
ABAT,0.15823520587783801,0.5923588458122582
ABCA1,0.30649629847629156,-0.3165126634042257
ABCA2,0.33947314186823974,-0.24550835324878006
ABCA3,-0.2860087547864776,0.05744273990677806
ABCA5,-0.07483447652237507,0.11384981167389063
ABCA7,0.9599056456984055,0.8230585036577613
ABCB1A,-0.7399595769601173,-0.23538851629595636
ABCB1B,-0.538558183564354,-0.185472180766729
ABCB6,0.038936548480995814,-0.23550613643757679
ABCB7,-0.40207488401891345,-0.1617548423647528
ABCB8,0.19957884518867264,0.11120595454556392
ABCC1,0.0761029485326219,-0.5163298302536399
ABCC10,0.517141564824549,-0.06983502553584153
ABCC4,-0.042395315905788156,0.661719699705194
ABCC5,-0.5590735665046696,-0.4712324041725795
ABCC8,0.6622855754042359,0.1907783167922832
ABCD1,0.1275639555002166,-0.14231846564377415
ABCD3,-0.31978785917234154,-0.3382600678335277
ABCD4,0.4410452962116951,-0.5694857096329162
ABCE1,-0.3130603176934761,-0.9838173269105157
ABCF1,0.4625531836515986,0.19762362716494852
ABCF2,0.08907980514897851,0.17216148768830397
ABCF3,0.12358453285364845,-0.13594285745077173
ABCG1,-0.0285051443685429,-0.13439369385167144
ABCG2,-0.575176481601984,-0.08119056293419469
ABHD1,-0.567715596683311,0.03290998751394314
ABHD10,-0.28761088196610185,-0.48293085703701744
ABHD11,0.2248633404585343,0.0681001497137439
ABHD12,-0.3892281059080762,-0.22445522657864014
ABHD13,-0.3079889018925508,-0.4587614649337146
ABHD14A,0.589132663171267,0.2437738192957779
ABHD14B,0.9386894236248637,-0.04846184906112505
ABHD16A,0.494448902160717,0.5324022797359826
ABHD2,-0.10348475352914077,-0.06733864305922044
ABHD3,-0.15271832885363534,-0.13493925789416106
ABHD4,-0.1797082873869167,0.15409039572635486
ABHD5,-0.11520952733808354,-0.09926096725264744
ABHD6,-0.04610783553779019,0.03310391775220589
ABHD8,0.5382271137209034,-0.5645040832915025
ABI1,-0.5245522204575952,0.03888327449134543
ABI2,-0.28180455887523204,-0.11930253749648001
ABI3,0.40611910801053197,-0.4685350477714687
ABL1,0.0966918307282354,0.05113694895156495
ABL2,0.0410047302919776,0.2828363195622017
ABLIM1,0.41030383988851016,0.09670060500724531
ABLIM2,-0.06456903918742185,0.07389623617756524
ABR,0.5518434486520976,0.10306292075210965
ABT1,-0.25034064556215085,0.2824945120296136
ABTB1,0.8407238101285146,-0.4067214322087116
ABTB2,-0.052697211314643555,-0.36129821831657827
ACAA1A,0.6282583695243629,0.1707041104471898
ACAA1B,0.7470379977370092,-0.2994121231896234
ACAA2,-0.352624612158853,-0.05622196048609496
ACACA,0.603032335683114,-0.4655557742628291
ACACB,1.5251522838841736,0.16046467219324612
ACAD10,0.15116975171628555,-0.1256949570810093
ACAD11,0.18014134657138392,-0.06852040084813638
ACAD12,0.39672545333393616,0.023540169404415945
ACAD8,0.12327352108057532,-0.009391337787360676
